Project Name,Package Name,Type Name,Code Smell
java-client,io.appium.java_client.ios,AppIOSTest,Broken Hierarchy
java-client,io.appium.java_client.ios,AppIOSTest,Wide Hierarchy
java-client,io.appium.java_client.ios,BaseIOSTest,Deficient Encapsulation
java-client,io.appium.java_client.ios,BaseIOSWebViewTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,BaseIOSWebViewTest,Broken Hierarchy
java-client,io.appium.java_client.ios,BaseSafariTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,BaseSafariTest,Broken Hierarchy
java-client,io.appium.java_client.ios,ClipboardTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,ClipboardTest,Broken Hierarchy
java-client,io.appium.java_client.ios,ImagesComparisonTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,ImagesComparisonTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSAlertTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSAlertTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSAppStringsTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSAppStringsTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSContextTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSContextTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSDriverTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSDriverTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSElementTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSElementTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSNativeWebTapSettingTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSNativeWebTapSettingTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSScreenRecordTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSScreenRecordTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSSearchingTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSSearchingTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSSyslogListenerTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSSyslogListenerTest,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSWebViewTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSWebViewTest,Broken Hierarchy
java-client,io.appium.java_client.ios,RotationTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,RotationTest,Broken Hierarchy
java-client,io.appium.java_client.ios,SettingTest,Unutilized Abstraction
java-client,io.appium.java_client.ios,SettingTest,Broken Hierarchy
java-client,io.appium.java_client.ios,HasIOSClipboard,Unutilized Abstraction
java-client,io.appium.java_client.ios,HasIOSSettings,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSBatteryInfo,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSDriver,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSDriver,Broken Hierarchy
java-client,io.appium.java_client.ios,IOSDriver,Insufficient Modularization
java-client,io.appium.java_client.ios,InnerTargetLocator,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSAlert,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSMobileCommandHelper,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSStartScreenRecordingOptions,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSStopScreenRecordingOptions,Unutilized Abstraction
java-client,io.appium.java_client.ios,IOSTouchAction,Unutilized Abstraction
java-client,io.appium.java_client.ios,ListensToSyslogMessages,Unutilized Abstraction
java-client,io.appium.java_client.ios,PerformsTouchID,Unutilized Abstraction
java-client,io.appium.java_client.ios,ShakesDevice,Unutilized Abstraction
java-client,io.appium.java_client.android.appmanagement,AndroidInstallApplicationOptions,Unutilized Abstraction
java-client,io.appium.java_client.android.appmanagement,AndroidRemoveApplicationOptions,Unutilized Abstraction
java-client,io.appium.java_client.android.appmanagement,AndroidTerminateApplicationOptions,Unutilized Abstraction
java-client,io.appium.java_client.android.connection,ConnectionState,Deficient Encapsulation
java-client,io.appium.java_client.android.connection,ConnectionStateBuilder,Unutilized Abstraction
java-client,io.appium.java_client.android.connection,HasNetworkConnection,Unutilized Abstraction
java-client,io.appium.java_client.android.geolocation,SupportsExtendedGeolocationCommands,Unutilized Abstraction
java-client,io.appium.java_client.android.nativekey,PressesKey,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsAdbExecTimeoutOption,Unutilized Abstraction
